Date,IWM,QQQ,SPY
2020-06-04,134.57765197753906,227.27182006835938,286.9966125488281
2020-06-05,139.7805633544922,231.7779998779297,294.3522644042969
2020-06-08,142.48912048339844,233.5766143798828,297.9102783203125
2020-06-09,139.85504150390625,235.26881408691406,295.68878173828125
2020-06-10,136.0576171875,238.0924530029297,294.038818359375
2020-06-11,125.6796646118164,226.295166015625,277.0877685546875
2020-06-12,128.69534301757812,228.09381103515625,280.4060974121094
2020-06-15,131.67074584960938,230.8690185546875,283.0239562988281
2020-06-16,134.83665466308594,234.8336639404297,288.4714660644531
2020-06-17,132.39918518066406,235.57830810546875,287.2731628417969
2020-06-18,132.3524627685547,236.2164764404297,287.3837890625
2020-06-19,131.67074584960938,236.17784118652344,285.7414245605469
2020-06-22,132.98751831054688,239.0102081298828,287.5745544433594
2020-06-23,133.5478515625,241.04444885253906,288.8984375
2020-06-24,129.2145538330078,236.0751190185547,281.529052734375
2020-06-25,131.16639709472656,238.32241821289062,284.5470886230469
2020-06-26,127.63627624511719,232.69447326660156,277.78863525390625
2020-06-29,131.81082153320312,235.23236083984375,281.87158203125
2020-06-30,133.7159881591797,239.84326171875,285.4822082519531
2020-07-01,132.4458770751953,242.64271545410156,287.4819030761719
2020-07-02,132.98751831054688,244.2895050048828,289.0650939941406
2020-07-06,133.9494171142578,250.29522705078125,293.5274658203125
2020-07-07,131.5773468017578,248.57098388671875,290.5000305175781
2020-07-08,132.55796813964844,251.84507751464844,292.7220458984375
2020-07-09,129.87762451171875,253.9665069580078,291.0555114746094
2020-07-10,131.96954345703125,255.7004852294922,294.0273742675781
2020-07-13,130.29791259765625,250.4405517578125,291.4814453125
2020-07-14,132.4552001953125,252.21327209472656,295.25872802734375
2020-07-15,137.31146240234375,252.7266082763672,297.9713439941406
2020-07-16,136.49900817871094,251.00233459472656,296.989990234375
2020-07-17,136.9005889892578,251.29298400878906,297.85101318359375
2020-07-20,136.3122100830078,258.42242431640625,300.2581481933594
2020-07-21,138.245361328125,255.7294921875,300.8969421386719
2020-07-22,138.32012939453125,256.6302795410156,302.609619140625
2020-07-23,138.4601593017578,249.92715454101562,298.99896240234375
2020-07-24,136.4242706298828,247.55386352539062,297.0733337402344
2020-07-27,137.84384155273438,251.9710235595703,299.2397766113281
2020-07-28,136.47096252441406,248.76473999023438,297.3417663574219
2020-07-29,139.4781494140625,251.63198852539062,300.9986877441406
2020-07-30,138.92713928222656,252.94940185546875,299.9247741699219
2020-07-31,137.6196746826172,257.4634704589844,302.2947998046875
2020-08-03,139.86102294921875,260.9410095214844,304.39642333984375
2020-08-04,140.82293701171875,261.9096374511719,305.572265625
2020-08-05,143.6246795654297,262.55859375,307.4701232910156
2020-08-06,143.56861877441406,266.0361633300781,309.525390625
2020-08-07,145.84730529785156,262.9654235839844,309.7476806640625
2020-08-10,147.36026000976562,261.8418884277344,310.67340087890625
2020-08-11,146.5104217529297,256.88226318359375,308.1088562011719
2020-08-12,147.1081085205078,263.3432312011719,312.40472412109375
2020-08-13,146.7999267578125,263.9438171386719,311.8399658203125
2020-08-14,146.70652770996094,263.63385009765625,311.8491516113281
2020-08-17,147.4629669189453,266.69488525390625,312.8398132324219
2020-08-18,146.0528106689453,269.2618713378906,313.51568603515625
2020-08-19,146.0621337890625,267.4504089355469,312.2102966308594
2020-08-20,145.4644317626953,271.1603698730469,313.1824035644531
2020-08-21,144.39044189453125,273.03961181640625,314.2933654785156
2020-08-24,145.90338134765625,274.7444763183594,317.4781799316406
2020-08-25,146.0621337890625,276.9046630859375,318.5891418457031
2020-08-26,145.1469268798828,282.8135070800781,321.7831726074219
2020-08-27,145.50180053710938,281.93212890625,322.4867248535156
2020-08-28,146.73452758789062,283.3657531738281,324.56976318359375
2020-08-31,145.15626525878906,285.6420593261719,323.39398193359375
2020-09-01,146.81858825683594,290.5242614746094,326.4399719238281
2020-09-02,147.98599243164062,293.2752380371094,331.1616516113281
2020-09-03,143.61534118652344,278.4060974121094,319.764892578125
2020-09-04,142.7001190185547,274.69610595703125,317.1541748046875
