date,return,market_regime,n_positions,cumulative
2021-09-07,-0.002365333095155425,BULL,70,1.2931443901371833
2021-09-08,-0.005759670005654882,BULL,70,1.2856963051803292
2021-09-09,0.0005698003394206935,BULL,70,1.286428895371413
2021-09-10,-0.003755474478982691,BULL,70,1.2815977444858195
2021-09-13,-0.004437507522839291,BULL,70,1.2759106448534099
2021-09-14,0.0013128474347077308,BULL,66,1.277585720870422
2021-09-15,0.016170702539714518,BULL,66,1.2982451795316041
2021-09-16,0.0024379584729243716,BULL,66,1.3014102473669764
2021-09-17,-0.008449129301473781,BULL,66,1.2904144639127098
2021-09-20,-0.021097563036683812,BULL,66,1.2631898634168628
2021-09-21,0.010529742804808869,BULL,65,1.2764909277922838
2021-09-22,0.014263770909670414,BULL,65,1.2946985019545856
2021-09-23,0.016447393333541047,BULL,65,1.3159929174645788
2021-09-24,-0.0012202428557948437,BULL,65,1.3143870865087661
2021-09-27,-0.006317706597751752,BULL,65,1.30608317454033
2021-09-28,-0.016182687610651714,BULL,71,1.2849472385332157
2021-09-29,0.004182860364319112,BULL,71,1.2903219934075174
2021-09-30,-0.010110922232439461,BULL,71,1.2772756480773677
2021-10-01,0.010163274788476355,BULL,71,1.290256951469407
2021-10-04,0.00016902552420740698,BULL,71,1.2904750378269916
2021-10-05,0.01060281125634666,BULL,65,1.3041577010840981
2021-10-06,-0.001693611814177972,BULL,65,1.301948964193991
2021-10-07,0.006989882236344936,BULL,65,1.3110494341314383
2021-10-08,0.006690868422758397,BULL,65,1.3198214933909436
2021-10-11,-0.0014221915877313351,BULL,65,1.317944454365736
2021-10-12,0.009390408806530708,BULL,67,1.33032049157653
2021-10-13,0.002474203208963605,BULL,67,1.3336119748057387
2021-10-14,0.01560461360949275,BULL,67,1.3544224743775748
2021-10-15,0.0011904036357031993,BULL,67,1.356034783815352
2021-10-18,0.007842027101376086,BULL,67,1.3666688453404408
2021-10-19,0.0019183172956366995,BULL,71,1.3692905498238652
2021-10-20,0.004006362686533513,BULL,71,1.3747764243897025
2021-10-21,-0.002188176415005587,BULL,71,1.3717681710419471
2021-10-22,-0.003232497208739071,BULL,71,1.3673339342580169
2021-10-25,0.009358239922557517,BULL,71,1.380129773269058
2021-10-26,0.0006327127954862382,BULL,72,1.3810029990360368
2021-10-27,-0.012838824942485484,BULL,72,1.3632725432863657
2021-10-28,0.01808708883693186,BULL,72,1.3879301748857362
2021-10-29,0.000384523734024331,BULL,72,1.3884638669791483
2021-11-01,0.007964942331403988,BULL,72,1.3995229016088753
2021-11-02,0.003996657086467132,BULL,70,1.4051163147312633
2021-11-03,0.004315223826204189,BULL,70,1.4111797061311797
2021-11-04,-0.0002775246742485334,BULL,70,1.4107880689429295
2021-11-05,0.007879934311497618,BULL,70,1.4219049862536446
2021-11-08,0.008909805238664676,BULL,70,1.4345738827490508
2021-11-09,-0.004796005026885637,BULL,77,1.4276936591959477
2021-11-10,-0.024312557567494883,BULL,77,1.3929827749179988
2021-11-11,0.007095060801290974,BULL,77,1.402866072401193
2021-11-12,0.005797753538510666,BULL,77,1.4109995441365137
2021-11-15,-0.003942094722810406,BULL,77,1.4054372502796852
2021-11-16,0.013377143429084137,BULL,78,1.4242379859572543
2021-11-17,-0.008611461705430782,BULL,78,1.4119732150817634
2021-11-18,0.002388296293809122,BULL,78,1.415345425478301
2021-11-19,-0.004669389983626689,BULL,78,1.4087366257252008
2021-11-22,-0.011316119025460047,BULL,78,1.3927951943929695
2021-11-23,0.0051734588588689175,BULL,70,1.400000763029992
2021-11-24,0.008844399789614751,BULL,70,1.4123829294839951
2021-11-26,-0.01952134111131374,BULL,70,1.3848113205377415
2021-11-29,0.015412905760411648,BULL,70,1.4061552869171408
2021-11-30,-0.021916832630423714,BULL,70,1.3753368168413922
2021-12-01,-0.020035846399826973,BULL,68,1.3477807796311312
2021-12-02,0.011841290456306415,BULL,68,1.3637402433141703
2021-12-03,-0.010809348393054861,BULL,68,1.3489990999065582
2021-12-06,-0.0011502267981934038,BULL,68,1.347447444991107
2021-12-07,0.02875997733945123,BEAR,68,1.3862000029751524
2021-12-08,0.0011113413708782472,BEAR,51,1.3877405443867703
2021-12-09,-0.004248950999881303,BEAR,51,1.3818441028131223
2021-12-10,0.007078141496553693,BEAR,51,1.391624990899012
2021-12-13,-0.0034637317667272007,BEAR,51,1.3868047752106636
2021-12-14,-0.004543085452523288,BEAR,51,1.3805044026109143
2021-12-15,0.006451861360256633,BEAR,56,1.3894112256237838
2021-12-16,0.0015887407324252387,BEAR,56,1.3916186398320214
2021-12-17,-0.008034930934906979,BEAR,56,1.380437080173242
2021-12-20,-0.0035635890323959603,BEAR,56,1.3755177697344239
2021-12-21,0.006651193931098262,BEAR,56,1.3846666051765992
2021-12-22,0.005845637565379834,BEAR,49,1.3927608642993468
