date,spy_return,spy_vol,state,regime
2020-06-04,-0.0026267685189937,0.19619404551953187,0,BEAR
2020-06-05,0.0256292116336469,0.20852456489924928,0,BEAR
2020-06-08,0.0120875038736349,0.20592381274161436,0,BEAR
2020-06-09,-0.0074564217432203,0.2100892843909159,0,BEAR
2020-06-10,-0.0055800664084254,0.19326682783442187,0,BEAR
2020-06-11,-0.0576490083202335,0.2863155981877127,0,BEAR
2020-06-12,0.0119757293647064,0.28631889319000936,0,BEAR
2020-06-15,0.0093359536082053,0.2870683692170394,0,BEAR
2020-06-16,0.0192473019844123,0.2757235632920689,0,BEAR
2020-06-17,-0.0041536575047397,0.2726249216800914,0,BEAR
2020-06-18,0.0003846656404666,0.2679897443743531,0,BEAR
2020-06-19,-0.0057145642381946,0.2674641193738798,0,BEAR
