date,market_regime,strategy,n_stocks,top_stocks
2020-07-14,BEAR,MOMENTUM_SURGE,0,
2020-07-14,BEAR,QUALITY_DEFENSIVE,0,
2020-07-14,BEAR,VALUE_ROTATION,0,
2020-07-14,BEAR,BREAKOUT_CAPTURE,0,
2020-07-14,BEAR,MEAN_REVERSION,0,
2020-07-15,BEAR,MOMENTUM_SURGE,0,
2020-07-15,BEAR,QUALITY_DEFENSIVE,0,
2020-07-15,BEAR,VALUE_ROTATION,0,
2020-07-15,BEAR,BREAKOUT_CAPTURE,0,
2020-07-15,BEAR,MEAN_REVERSION,0,
2020-07-16,BEAR,MOMENTUM_SURGE,0,
2020-07-16,BEAR,QUALITY_DEFENSIVE,0,
2020-07-16,BEAR,VALUE_ROTATION,0,
2020-07-16,BEAR,BREAKOUT_CAPTURE,0,
2020-07-16,BEAR,MEAN_REVERSION,0,
2020-07-17,BEAR,MOMENTUM_SURGE,0,
2020-07-17,BEAR,QUALITY_DEFENSIVE,0,
2020-07-17,BEAR,VALUE_ROTATION,0,
2020-07-17,BEAR,BREAKOUT_CAPTURE,0,
2020-07-17,BEAR,MEAN_REVERSION,0,
2020-07-20,BEAR,MOMENTUM_SURGE,0,
2020-07-20,BEAR,QUALITY_DEFENSIVE,0,
2020-07-20,BEAR,VALUE_ROTATION,0,
2020-07-20,BEAR,BREAKOUT_CAPTURE,0,
2020-07-20,BEAR,MEAN_REVERSION,0,
2020-07-21,BEAR,MOMENTUM_SURGE,0,
2020-07-21,BEAR,QUALITY_DEFENSIVE,0,
2020-07-21,BEAR,VALUE_ROTATION,0,
2020-07-21,BEAR,BREAKOUT_CAPTURE,0,
2020-07-21,BEAR,MEAN_REVERSION,0,
2020-07-22,BEAR,MOMENTUM_SURGE,0,
2020-07-22,BEAR,QUALITY_DEFENSIVE,0,
2020-07-22,BEAR,VALUE_ROTATION,0,
2020-07-22,BEAR,BREAKOUT_CAPTURE,0,
2020-07-22,BEAR,MEAN_REVERSION,0,
2020-07-23,BEAR,MOMENTUM_SURGE,0,
2020-07-23,BEAR,QUALITY_DEFENSIVE,0,
2020-07-23,BEAR,VALUE_ROTATION,0,
2020-07-23,BEAR,BREAKOUT_CAPTURE,0,
2020-07-23,BEAR,MEAN_REVERSION,0,
2020-07-24,BEAR,MOMENTUM_SURGE,0,
2020-07-24,BEAR,QUALITY_DEFENSIVE,0,
2020-07-24,BEAR,VALUE_ROTATION,0,
2020-07-24,BEAR,BREAKOUT_CAPTURE,0,
2020-07-24,BEAR,MEAN_REVERSION,0,
2020-07-27,BULL,MOMENTUM_SURGE,0,
2020-07-27,BULL,QUALITY_DEFENSIVE,0,
2020-07-27,BULL,VALUE_ROTATION,0,
2020-07-27,BULL,BREAKOUT_CAPTURE,0,
2020-07-27,BULL,MEAN_REVERSION,0,
2020-07-28,BULL,MOMENTUM_SURGE,0,
2020-07-28,BULL,QUALITY_DEFENSIVE,0,
2020-07-28,BULL,VALUE_ROTATION,0,
2020-07-28,BULL,BREAKOUT_CAPTURE,0,
2020-07-28,BULL,MEAN_REVERSION,0,
2020-07-29,BULL,MOMENTUM_SURGE,0,
2020-07-29,BULL,QUALITY_DEFENSIVE,0,
2020-07-29,BULL,VALUE_ROTATION,0,
2020-07-29,BULL,BREAKOUT_CAPTURE,0,
2020-07-29,BULL,MEAN_REVERSION,0,
2020-07-30,BULL,MOMENTUM_SURGE,0,
2020-07-30,BULL,QUALITY_DEFENSIVE,0,
2020-07-30,BULL,VALUE_ROTATION,0,
2020-07-30,BULL,BREAKOUT_CAPTURE,0,
2020-07-30,BULL,MEAN_REVERSION,0,
2020-07-31,BULL,MOMENTUM_SURGE,0,
2020-07-31,BULL,QUALITY_DEFENSIVE,0,
2020-07-31,BULL,VALUE_ROTATION,0,
2020-07-31,BULL,BREAKOUT_CAPTURE,0,
2020-07-31,BULL,MEAN_REVERSION,0,
2020-08-03,BULL,MOMENTUM_SURGE,0,
2020-08-03,BULL,QUALITY_DEFENSIVE,0,
2020-08-03,BULL,VALUE_ROTATION,0,
2020-08-03,BULL,BREAKOUT_CAPTURE,0,
2020-08-03,BULL,MEAN_REVERSION,0,
2020-08-04,BULL,MOMENTUM_SURGE,0,
2020-08-04,BULL,QUALITY_DEFENSIVE,0,
2020-08-04,BULL,VALUE_ROTATION,0,
2020-08-04,BULL,BREAKOUT_CAPTURE,0,
2020-08-04,BULL,MEAN_REVERSION,0,
2020-08-05,BULL,MOMENTUM_SURGE,0,
2020-08-05,BULL,QUALITY_DEFENSIVE,0,
2020-08-05,BULL,VALUE_ROTATION,0,
2020-08-05,BULL,BREAKOUT_CAPTURE,0,
2020-08-05,BULL,MEAN_REVERSION,0,
2020-08-06,BULL,MOMENTUM_SURGE,0,
2020-08-06,BULL,QUALITY_DEFENSIVE,0,
2020-08-06,BULL,VALUE_ROTATION,0,
2020-08-06,BULL,BREAKOUT_CAPTURE,0,
2020-08-06,BULL,MEAN_REVERSION,0,
2020-08-07,BULL,MOMENTUM_SURGE,0,
2020-08-07,BULL,QUALITY_DEFENSIVE,0,
2020-08-07,BULL,VALUE_ROTATION,0,
2020-08-07,BULL,BREAKOUT_CAPTURE,0,
2020-08-07,BULL,MEAN_REVERSION,0,
2020-08-10,BULL,MOMENTUM_SURGE,0,
2020-08-10,BULL,QUALITY_DEFENSIVE,0,
2020-08-10,BULL,VALUE_ROTATION,0,
2020-08-10,BULL,BREAKOUT_CAPTURE,0,
2020-08-10,BULL,MEAN_REVERSION,0,
2020-08-11,BULL,MOMENTUM_SURGE,0,
2020-08-11,BULL,QUALITY_DEFENSIVE,0,
2020-08-11,BULL,VALUE_ROTATION,0,
2020-08-11,BULL,BREAKOUT_CAPTURE,0,
2020-08-11,BULL,MEAN_REVERSION,0,
2020-08-12,BULL,MOMENTUM_SURGE,0,
2020-08-12,BULL,QUALITY_DEFENSIVE,0,
2020-08-12,BULL,VALUE_ROTATION,0,
2020-08-12,BULL,BREAKOUT_CAPTURE,0,
2020-08-12,BULL,MEAN_REVERSION,0,
2020-08-13,BULL,MOMENTUM_SURGE,0,
2020-08-13,BULL,QUALITY_DEFENSIVE,0,
2020-08-13,BULL,VALUE_ROTATION,0,
2020-08-13,BULL,BREAKOUT_CAPTURE,0,
2020-08-13,BULL,MEAN_REVERSION,0,
2020-08-14,BULL,MOMENTUM_SURGE,0,
2020-08-14,BULL,QUALITY_DEFENSIVE,0,
2020-08-14,BULL,VALUE_ROTATION,0,
2020-08-14,BULL,BREAKOUT_CAPTURE,0,
2020-08-14,BULL,MEAN_REVERSION,0,
2020-08-17,BULL,MOMENTUM_SURGE,0,
2020-08-17,BULL,QUALITY_DEFENSIVE,0,
2020-08-17,BULL,VALUE_ROTATION,0,
2020-08-17,BULL,BREAKOUT_CAPTURE,0,
2020-08-17,BULL,MEAN_REVERSION,0,
2020-08-18,BULL,MOMENTUM_SURGE,0,
2020-08-18,BULL,QUALITY_DEFENSIVE,0,
2020-08-18,BULL,VALUE_ROTATION,0,
2020-08-18,BULL,BREAKOUT_CAPTURE,0,
2020-08-18,BULL,MEAN_REVERSION,0,
2020-08-19,BULL,MOMENTUM_SURGE,0,
2020-08-19,BULL,QUALITY_DEFENSIVE,0,
2020-08-19,BULL,VALUE_ROTATION,0,
2020-08-19,BULL,BREAKOUT_CAPTURE,0,
2020-08-19,BULL,MEAN_REVERSION,0,
2020-08-20,BULL,MOMENTUM_SURGE,0,
2020-08-20,BULL,QUALITY_DEFENSIVE,0,
2020-08-20,BULL,VALUE_ROTATION,0,
2020-08-20,BULL,BREAKOUT_CAPTURE,0,
2020-08-20,BULL,MEAN_REVERSION,0,
2020-08-21,BULL,MOMENTUM_SURGE,0,
2020-08-21,BULL,QUALITY_DEFENSIVE,0,
2020-08-21,BULL,VALUE_ROTATION,0,
2020-08-21,BULL,BREAKOUT_CAPTURE,0,
2020-08-21,BULL,MEAN_REVERSION,0,
2020-08-24,BULL,MOMENTUM_SURGE,0,
2020-08-24,BULL,QUALITY_DEFENSIVE,0,
2020-08-24,BULL,VALUE_ROTATION,0,
2020-08-24,BULL,BREAKOUT_CAPTURE,0,
2020-08-24,BULL,MEAN_REVERSION,0,
2020-08-25,BULL,MOMENTUM_SURGE,0,
2020-08-25,BULL,QUALITY_DEFENSIVE,0,
2020-08-25,BULL,VALUE_ROTATION,0,
2020-08-25,BULL,BREAKOUT_CAPTURE,0,
2020-08-25,BULL,MEAN_REVERSION,0,
2020-08-26,BULL,MOMENTUM_SURGE,0,
2020-08-26,BULL,QUALITY_DEFENSIVE,0,
2020-08-26,BULL,VALUE_ROTATION,0,
2020-08-26,BULL,BREAKOUT_CAPTURE,0,
2020-08-26,BULL,MEAN_REVERSION,0,
2020-08-27,BULL,MOMENTUM_SURGE,0,
2020-08-27,BULL,QUALITY_DEFENSIVE,0,
2020-08-27,BULL,VALUE_ROTATION,0,
2020-08-27,BULL,BREAKOUT_CAPTURE,0,
2020-08-27,BULL,MEAN_REVERSION,0,
2020-08-28,BULL,MOMENTUM_SURGE,0,
2020-08-28,BULL,QUALITY_DEFENSIVE,0,
2020-08-28,BULL,VALUE_ROTATION,0,
2020-08-28,BULL,BREAKOUT_CAPTURE,0,
2020-08-28,BULL,MEAN_REVERSION,0,
2020-08-31,BULL,MOMENTUM_SURGE,0,
