,meta_return,regime,strategy
2020-11-24,0.005930585923934049,RANGE,MR+QD
2020-11-25,0.0052288310056019,BULL,MOMENTUM
2020-11-27,0.0063496050283426,BULL,MOMENTUM
2020-11-30,0.0108584797734897,BULL,MOMENTUM
2020-12-01,0.0148611980451393,BULL,MOMENTUM
2020-12-02,0.0007546104566651,BULL,MOMENTUM
2020-12-03,-0.0004987612442223,BULL,MOMENTUM
2020-12-04,0.0083244407446231,BULL,MOMENTUM
2020-12-07,0.0140507387874855,BULL,MOMENTUM
2020-12-08,-0.0011612768433289,BULL,MOMENTUM
2020-12-09,-0.0285946614259012,BULL,MOMENTUM
2020-12-10,0.00555690714222315,RANGE,MR+QD
2020-12-11,-0.00323270937727865,RANGE,MR+QD
2020-12-14,0.0094487416264004,RANGE,MR+QD
2020-12-15,0.00739099383529425,RANGE,MR+QD
2020-12-16,0.00034218070660585,RANGE,MR+QD
2020-12-17,0.00916341944831755,RANGE,MR+QD
2020-12-18,0.0033510246659062,BULL,MOMENTUM
2020-12-21,-0.0106203169086967,BULL,MOMENTUM
2020-12-22,-0.0005295188383758502,RANGE,MR+QD
2020-12-23,-0.01102689724698845,RANGE,MR+QD
2020-12-24,0.0026101779037395498,RANGE,MR+QD
2020-12-28,0.0076829652024699,BULL,MOMENTUM
2020-12-29,0.0033549802572586,BULL,MOMENTUM
2020-12-30,-0.00161967156230305,RANGE,MR+QD
2020-12-31,0.005113492206566849,RANGE,MR+QD
2021-01-04,-0.00340116559400275,RANGE,MR+QD
2021-01-05,0.0106179660136024,RANGE,MR+QD
2021-01-06,-0.0100536973939766,RANGE,MR+QD
2021-01-07,0.02275954316285355,RANGE,MR+QD
2021-01-08,0.00728366273557635,RANGE,MR+QD
2021-01-11,-0.0106741207653434,BULL,MOMENTUM
2021-01-12,-0.0047943430308103,RANGE,MR+QD
2021-01-13,0.0011543496734792498,RANGE,MR+QD
2021-01-14,-0.0091940126513862,RANGE,MR+QD
2021-01-15,-0.00808190123031535,RANGE,MR+QD
2021-01-19,0.00908567163492175,RANGE,MR+QD
2021-01-20,0.022192094686602902,RANGE,MR+QD
2021-01-21,0.0073197651432789,BULL,MOMENTUM
2021-01-22,0.0018477240356622,BULL,MOMENTUM
2021-01-25,0.0085381438889274,BULL,MOMENTUM
2021-01-26,-0.00266280778891785,RANGE,MR+QD
2021-01-27,-0.03748578580701535,RANGE,MR+QD
2021-01-28,0.0,BEAR,CASH
2021-01-29,0.0,BEAR,CASH
2021-02-01,0.0,BEAR,CASH
2021-02-02,0.0,BEAR,CASH
2021-02-03,-0.007942615700361751,RANGE,MR+QD
2021-02-04,0.0052435301247493495,RANGE,MR+QD
2021-02-05,0.0013735476551604,BULL,MOMENTUM
2021-02-08,0.0122989574519499,BULL,MOMENTUM
2021-02-09,-0.0054929513274902,BULL,MOMENTUM
2021-02-10,-0.0021764723690763,BULL,MOMENTUM
2021-02-11,0.0069448752959644,BULL,MOMENTUM
2021-02-12,0.0054325717017624,BULL,MOMENTUM
2021-02-16,-0.0059674794023963,BULL,MOMENTUM
2021-02-17,-0.0075153385747617,BULL,MOMENTUM
2021-02-18,-0.0057414644587748,BULL,MOMENTUM
2021-02-19,-0.007407469495741,RANGE,MR+QD
2021-02-22,-0.0229720799266757,RANGE,MR+QD
2021-02-23,-0.0024587827752884,RANGE,MR+QD
2021-02-24,0.0146833850779216,RANGE,MR+QD
2021-02-25,-0.0395045102908439,BULL,MOMENTUM
2021-02-26,0.0019845536606828,RANGE,MR+QD
2021-03-01,0.029212445313808552,RANGE,MR+QD
2021-03-02,-0.01456556996682375,RANGE,MR+QD
2021-03-03,-0.0290111027388535,RANGE,MR+QD
2021-03-04,-0.02605464567970965,RANGE,MR+QD
2021-03-05,0.0,BEAR,CASH
2021-03-08,-0.02834382723575525,RANGE,MR+QD
2021-03-09,0.0474400677568255,RANGE,MR+QD
2021-03-10,-0.0048586787941682,RANGE,MR+QD
2021-03-11,0.026688182237523853,RANGE,MR+QD
2021-03-12,-0.0058577627614381,BULL,MOMENTUM
2021-03-15,0.0072867052164839,BULL,MOMENTUM
2021-03-16,0.0015366595591098,BULL,MOMENTUM
2021-03-17,0.0024737983800492,BULL,MOMENTUM
2021-03-18,-0.0315317172132026,BULL,MOMENTUM
2021-03-19,0.0060953472368475495,RANGE,MR+QD
2021-03-22,0.0172643687068344,RANGE,MR+QD
2021-03-23,-0.0103658481115078,BULL,MOMENTUM
2021-03-24,-0.0228368633710823,BULL,MOMENTUM
2021-03-25,0.003244801775116126,RANGE,MR+QD
2021-03-26,0.0189042836311419,BULL,MOMENTUM
2021-03-29,-0.0043500847098527,BULL,MOMENTUM
2021-03-30,-0.0056038265178876,BULL,MOMENTUM
2021-03-31,0.020654433460245,BULL,MOMENTUM
2021-04-01,0.0159096410961914,BULL,MOMENTUM
2021-04-05,0.0159138449429783,BULL,MOMENTUM
2021-04-06,-0.0042923381128252,BULL,MOMENTUM
2021-04-07,0.000722338103415,BULL,MOMENTUM
2021-04-08,0.0105474815770578,BULL,MOMENTUM
2021-04-09,0.0033385590272879,BULL,MOMENTUM
2021-04-12,0.000343573530074,BULL,MOMENTUM
2021-04-13,0.0133139741976766,BULL,MOMENTUM
2021-04-14,-0.0096070143609488,BULL,MOMENTUM
2021-04-15,0.020876691009059,BULL,MOMENTUM
2021-04-16,8.952085193177977e-05,BULL,MOMENTUM
2021-04-19,-0.0180294906233449,BULL,MOMENTUM
2021-04-20,-0.013162560041063,BULL,MOMENTUM
2021-04-21,0.0162971299334412,BULL,MOMENTUM
2021-04-22,-0.0200554118688761,BULL,MOMENTUM
2021-04-23,0.0198972657553024,BULL,MOMENTUM
2021-04-26,0.0118371662492711,BULL,MOMENTUM
2021-04-27,-0.007344179167595,BULL,MOMENTUM
2021-04-28,-0.0113608881556374,BULL,MOMENTUM
2021-04-29,0.0063513673137997,BULL,MOMENTUM
2021-04-30,-0.010815373497006,BULL,MOMENTUM
2021-05-03,-0.0011928046798807,BULL,MOMENTUM
2021-05-04,-0.0124727119240989,BULL,MOMENTUM
2021-05-05,0.0031257629753208,BULL,MOMENTUM
2021-05-06,0.0083750219517386,BULL,MOMENTUM
2021-05-07,0.0134437212509047,BULL,MOMENTUM
2021-05-10,-0.022049240111676,BULL,MOMENTUM
2021-05-11,-0.0121229977398267,BULL,MOMENTUM
2021-05-12,-0.0231447949990185,RANGE,MR+QD
2021-05-13,0.011765935869751248,RANGE,MR+QD
2021-05-14,0.01547865488849805,RANGE,MR+QD
2021-05-17,-0.0018325327410457998,RANGE,MR+QD
