Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,UNH,JNJ,JPM,V,XOM,PG,MA,HD,CVX,ABBV,MRK,LLY,PEP,KO,COST,AVGO,WMT,MCD,TMO,CSCO,ABT,ACN,CRM,DHR,ADBE,NKE,NFLX,TXN,AMD,INTC,QCOM,UNP,PM,BA,HON,IBM,CAT,GE,AXP,LOW,SBUX,GS,SPY
2015-04-24,0.20591923901364814,0.29276987706080027,0.21363489429660898,0.44115497822303035,0.2939452051396455,0.21756529392037965,0.35272351582353983,0.13158952159626505,0.2205785520765783,0.16188216981225984,0.1836824322880899,0.19714371341030248,0.17725063811378858,0.13615989192712946,0.21349566731347722,0.20112556285344016,0.20937743921476043,0.319211114005614,0.16147704134905003,0.18944974501441006,0.1486348060394217,0.15200847400248788,0.17931127719908654,0.42318350569737273,0.16992285216950892,0.20794588107883516,0.20116743525080005,0.27641817589802165,0.1797617950577233,0.2214505393325757,0.3463150030840584,0.14382006701724373,0.2021525944963044,0.1786726123339829,0.460943733150602,0.2605753818336968,0.5483900572304511,0.28280482281251745,0.31444719117028164,0.21463483714987955,0.23326327703785105,0.21276463793794523,0.17455462576537678,0.20148935528070697,0.216140239177271,0.2754601975197263,0.24442969708615647,0.17833683497536967,0.18828161039883354,0.19184879564861404,0.11472644330592988
2015-04-27,0.199764188421665,0.29059282589595187,0.21586931964543077,0.4414671577489317,0.29060849622396256,0.21287957356724307,0.36829197594027013,0.13038188719502455,0.2247502657503486,0.16116090955685644,0.18167949796461416,0.19741337927147456,0.17703550426035533,0.13569516162705225,0.21471806663789145,0.1986167646256171,0.20878742649966425,0.31863389975631645,0.1605048524273502,0.1876477059686192,0.14920799666249923,0.15173418519229723,0.17994767597520478,0.4224880841249011,0.16843959110633805,0.18843788476780407,0.19733416637302192,0.2749252912865924,0.16294517923031537,0.21977683677503343,0.3415020969179101,0.14138304269597185,0.19854386462544366,0.1758250418659485,0.4613440175815643,0.26094852725253725,0.5496232675396806,0.28287881503156737,0.23236864343140048,0.21376066260551377,0.23344978975194225,0.17660603465898791,0.17444858872103955,0.19543100252330803,0.21666210583289686,0.27498342246437507,0.2445767405894172,0.181491352171202,0.1911331147606872,0.1904219325785496,0.11391423477546059
2015-04-28,0.20017519959214405,0.28095461702715774,0.1939398497053775,0.35056628099930626,0.28314557236798527,0.20763782604235184,0.36797822999822183,0.12801023126622982,0.21691449776247712,0.1546789962215302,0.1741183148181775,0.18995203472667072,0.17794320382035866,0.13195780416553168,0.21445874281255287,0.1890001760749116,0.20976872414685188,0.30772825173063106,0.18267491465993202,0.18781803514958115,0.14108911202359659,0.14483011913827082,0.17723378030296136,0.418793816161305,0.15671022281074817,0.1874656558336039,0.19224736866114553,0.2677985724165719,0.1610311105948686,0.21578523674306602,0.3371299944976578,0.1361553879932988,0.19382876800554638,0.16721342018197607,0.46141584250041257,0.2566972775029014,0.5493729706531424,0.27602041563086244,0.22840382717229174,0.2088805944815034,0.23269752413463934,0.17330682813147746,0.16685253555224763,0.19567356011622294,0.2173939915401452,0.27452581422419803,0.24251669131734135,0.16919961248097443,0.18747874173000273,0.18473674532742423,0.1105334745350104
2015-04-29,0.20179839137858954,0.2785806832465821,0.19305902403668238,0.3468416571386701,0.28106990795740405,0.20595906286710017,0.36147292275575765,0.12123108454995715,0.2282222763992329,0.15423999946507808,0.17178131730779625,0.19059427910140697,0.170502726140637,0.13078151973380472,0.21348677666819027,0.19257009373047468,0.1985000267343885,0.30911708928994286,0.18180395854467737,0.19023499683236128,0.1369591257099679,0.14392451321847835,0.17422035406475406,0.4187334148668429,0.15812415662833162,0.18747564118298257,0.19215929406847637,0.2668158548002287,0.16111288534935295,0.21303531852447777,0.40847375371371986,0.13234468762192864,0.19260191531525767,0.1669201540831482,0.46135116564632,0.25673023920108284,0.5434532275764083,0.2735159128500477,0.20856468398146144,0.2065749085779614,0.2302034663264741,0.1739957656960627,0.16372249778549156,0.19520616099621602,0.21833857039733168,0.27365458993708075,0.23958704890520133,0.17272600709746871,0.18742724862125146,0.18202339209463128,0.10847361808408354
2015-04-30,0.2101478733943239,0.2794334746743834,0.19892460790838604,0.34924610854001115,0.2770508258460569,0.21079217128820715,0.3596370791585789,0.12006331194088357,0.23192679814853293,0.15244501589786322,0.16730265011126294,0.19186195578498072,0.15900623601267921,0.12904942354898635,0.21278618405451388,0.18773506395599457,0.18773280595209776,0.30951252942744006,0.1817721962524313,0.1891493649198628,0.13661727226557893,0.1439611020181318,0.13681176711070148,0.4186754262144154,0.1576280320615071,0.18546977912530216,0.19218359892640374,0.2667620146544905,0.16258284907706516,0.2092022570881848,0.4109540227812908,0.13025403507169242,0.1923130883777205,0.16703518528737554,0.4577253463299669,0.2561423247948795,0.5384607070224668,0.27429228171382836,0.20508595243197938,0.20010802065933883,0.23041269685540755,0.1777753275787355,0.16177158924325416,0.19375129155790943,0.20527777873394415,0.2731149189702923,0.23602298659456555,0.17525801499208868,0.19297875283257165,0.176355802256049,0.10689281258043531
2015-05-01,0.21819767558648212,0.2794121559437867,0.1968916409879586,0.34924396084536563,0.28100238748978007,0.2107811673737543,0.35964195995692605,0.12409858338899488,0.23407915543380775,0.1521794377582637,0.16662079279928815,0.18782741658805696,0.16219843555489336,0.13096971425894036,0.21372177460524727,0.19281106058430564,0.19022640412050842,0.2638476946092022,0.16930446365434226,0.19115691526607026,0.13668200974596528,0.14508264681622918,0.1379109558349788,0.42941283202089015,0.1579835007583235,0.1871655032674059,0.19423629836013165,0.26497944890498254,0.16000727064088502,0.20899231779140234,0.4109831062699393,0.1304328412100538,0.19230078367321166,0.1700365609334265,0.45554199014600827,0.2593776763153912,0.535941087412529,0.27970882747733034,0.20542031747797856,0.20188222293818597,0.23037577019060973,0.17884936254931166,0.16449934740781014,0.19400981362408518,0.1991539676112328,0.2717058864086194,0.23617143303746208,0.18113387343531454,0.1946311311340011,0.17539203279476168,0.10863799764066505
2015-05-04,0.2179744954417618,0.2792764642832947,0.1965185459447824,0.34614112494297516,0.27995249424693086,0.21086548231275948,0.3611405828603501,0.12703018406497432,0.2346943801390584,0.15055799493136388,0.16927760011970536,0.17984621592145747,0.16096523935366905,0.12879850931355916,0.2104341699670057,0.1927390855531201,0.18990736188005014,0.2616548963010386,0.1712418733826842,0.18822224703770576,0.13694175937709516,0.14499608288330207,0.13588479142628138,0.4301601572488424,0.15800935090733007,0.19067139306062994,0.1939404897333522,0.2617998554573225,0.15915578079129028,0.20868713060870048,0.41494940834762767,0.12732397951407667,0.1918661565122173,0.16939852677678272,0.4557677174482773,0.2581322863560578,0.4123682202852008,0.2789236271478883,0.2041089166551828,0.19697682774016623,0.23016486363619182,0.1779589718090206,0.16135987442736893,0.19381467305695219,0.19542563240510072,0.27070306620638923,0.23497176796712216,0.18034274345889598,0.19385149992454836,0.17495346798806619,0.10694397271023628
2015-05-05,0.22252496789631024,0.2810426605972273,0.19959011089159243,0.34640170272558013,0.2853190220652735,0.21112311784571686,0.3598279606157482,0.12858269315555546,0.2345170470553535,0.14908915617756655,0.16598052179404327,0.17730780101976412,0.16129182709063702,0.12667055705284894,0.20641402404764972,0.19642857028028562,0.18992515285247438,0.259862889670605,0.17074079356270716,0.18854371569612374,0.13739574595515228,0.14441868530272647,0.13687238190571052,0.43617216836066824,0.1597776599812267,0.19047064412825623,0.19130963172468393,0.2627352063986885,0.15914594993088127,0.20939556034924933,0.41560868639096615,0.12650466721921386,0.19266105828363045,0.16561533584351476,0.455868978635164,0.2602036321517318,0.3785319673113842,0.2783058124365401,0.1991322909609511,0.19961395079754174,0.2279613609269955,0.1784413562505314,0.16229353930754342,0.19427581229166963,0.19533385899923428,0.2724146559564583,0.23496045998003562,0.1814454294995145,0.19708356780351652,0.17447948881242695,0.10953132860935556
2015-05-06,0.22270945754143562,0.287594832952099,0.2011290535802384,0.3458070149378853,0.28529159840024987,0.21148838778201243,0.3606966168818044,0.12828529894599444,0.2333213221424573,0.14679423831015903,0.16697725730238838,0.17690088840172413,0.1615079622398404,0.12654476030499223,0.20640113136562765,0.19602264148191886,0.18928282201774532,0.2536431525520976,0.17008421121537218,0.1871068492319016,0.1364905325800956,0.14408111265839915,0.13605782339912356,0.4328060160972181,0.1569048998626293,0.18822876259657054,0.19040015245603034,0.2624882315986296,0.15309453512137203,0.20901421240526877,0.41313808341676295,0.12628539715642273,0.19315366302593492,0.16487508729032985,0.4564397578369754,0.26045773219685137,0.3786333409603825,0.2786267279331043,0.19865890351567486,0.1977101476097627,0.2289557410832842,0.17884912814484938,0.16265350123627098,0.1951126513332843,0.19225546024903428,0.27260752764843266,0.2349708440156301,0.17968899960295986,0.19835951657705192,0.17424344319104823,0.1094660190792894
2015-05-07,0.21969386563120774,0.2878777701197373,0.1984526995707536,0.34731305551774827,0.28197797292267285,0.2107414273790226,0.3644392117617901,0.12978907687506264,0.2297242062198897,0.1466757290614831,0.1665557881556213,0.17903953788443167,0.16161214077288574,0.12619812606527986,0.2083602270347671,0.19376335275192,0.1893603522724622,0.2499414787603634,0.16922734170401343,0.18558022214987357,0.1294556207676455,0.13136883900135563,0.13571035044941154,0.43363614730235134,0.15321217003432547,0.18635063402709645,0.18859490931320871,0.2615942183047998,0.15219271382001728,0.211178830492784,0.41281671742872283,0.12564616959299982,0.19291822953049542,0.16314132060657946,0.4545746458174053,0.2540145949495091,0.38023565008272076,0.274306853464183,0.17442041800794858,0.1959954010397726,0.22891675524884691,0.17885553716193614,0.16172517082069837,0.19229147626487592,0.1917562846537752,0.2729555997346928,0.2344801482792979,0.1835435503086315,0.192070185981889,0.17285251817685054,0.1076296010105462
2015-05-08,0.21784652095538962,0.2905816784841159,0.1999251727331669,0.3483526187810968,0.32105017783236983,0.20782720137889343,0.36257172901705015,0.1367926434312804,0.22971645000229898,0.1513040833883089,0.1686897847635921,0.19930055363907104,0.1648620690574896,0.12774620468584005,0.21039334397485882,0.19880274214109714,0.1904749885663077,0.24992321667622192,0.16969914248110385,0.18983253756715646,0.12273391574969515,0.13223753185958934,0.13697180871343273,0.43356329734288207,0.1528430785568348,0.1886242178634122,0.19172525678692218,0.2591713298681131,0.15890113126913227,0.2128157724830966,0.41816455958651355,0.1273605060708822,0.19742231520222595,0.16000691525970495,0.455276386227688,0.2551366378097226,0.3791026205439763,0.27659057918977725,0.1769651746768841,0.19441548425164973,0.228026549168438,0.18784483379233885,0.16331401285103908,0.1928976223080768,0.19223130244791423,0.2737311791540489,0.23501061717834623,0.1852207935602863,0.19226178327405397,0.17248578784989602,0.11083148400730572
2015-05-11,0.21744343697050114,0.28973217966279824,0.19801100639928276,0.3484287089348984,0.28512658281034936,0.20813352353932665,0.3486356529771934,0.13988456517017667,0.23042872265759368,0.14600782756009437,0.16431045096735977,0.19638273637029452,0.1630344305896267,0.12822835995400586,0.19926722797641722,0.19618225576664683,0.18830375396391702,0.249884887715439,0.17171336006005125,0.18924777502636828,0.12276540958048136,0.1319354104177948,0.13871120837157702,0.43283684709771375,0.15287259916422374,0.1885357158251798,0.1904790833423626,0.17362803416510686,0.15898946152288304,0.2115457280864856,0.4125678994307259,0.12563163175806333,0.19296156682418136,0.15961923494099606,0.45759152415426835,0.2495181074944682,0.3770967160068151,0.2742706731889157,0.17719207914274931,0.19178867755650678,0.2277764276887798,0.18793280630730733,0.16229713936938833,0.19413560712172676,0.1949229492579722,0.2761355683635718,0.19578557214713083,0.184030795679274,0.19173179858376446,0.1715048954842765,0.10967753954413675
2015-05-12,0.21734405537541346,0.2877764873475498,0.1987932392619533,0.3480867705186809,0.28596536591249877,0.20822548955982273,0.35077818859051224,0.13981743300229052,0.2302752562940296,0.14457669501285603,0.164433937062026,0.19638901547529414,0.1613972928505185,0.12837169174012153,0.19901953182170962,0.1964207170445865,0.18469807417834325,0.24848214627824142,0.17286403741766013,0.19165371610936474,0.12069248322741426,0.1322238083073297,0.13846088612747018,0.4328262663323094,0.1549518797692162,0.1883927997976107,0.19017592875151837,0.1736186212327751,0.15463882477520097,0.2116978339733556,0.4099013681845932,0.1395428687359353,0.1857880547962896,0.16007052501428082,0.45744149127620176,0.24880808205191754,0.37769287415803837,0.27513113154841407,0.17671333003029682,0.1916673217694343,0.2267865172798559,0.18658487326095594,0.16149239497395837,0.19315849891807807,0.19197382121918208,0.27557262653416476,0.18644915727501746,0.18434594981544153,0.1916268344427335,0.17178587501905,0.10956953017879327
2015-05-13,0.21701017390362684,0.28790548334264576,0.1975266107693148,0.3467275994884782,0.2861746510914641,0.20965479380951826,0.3513372088780712,0.13941816152567726,0.23110209391857345,0.14363407409146128,0.16403983341805692,0.19620065707046905,0.16156227469532722,0.12821092592918873,0.19890378713618082,0.197964251253808,0.1846602771906781,0.24796922891792098,0.17313225448185343,0.18977044011439753,0.11980361077392385,0.1332899728322861,0.13875056381858522,0.4327357345232493,0.15591769037105,0.1866020544265451,0.19010364808035415,0.17359307911691416,0.15414160462959275,0.21124967481916226,0.4087495607514532,0.14324555765301555,0.18554531458318702,0.16008047911815426,0.45782916392145984,0.24954567998362584,0.3782478980916107,0.275329252287145,0.17901738428962516,0.2010106676743266,0.22688689903159895,0.18658625423024777,0.16695408295186945,0.19397180299372987,0.19198586841377008,0.2757708348587748,0.18570402545395606,0.1847389068043252,0.19165672102365813,0.17169885039810998,0.10952750189946699
2015-05-14,0.2218181264775025,0.29110704655503217,0.200755156512353,0.3469688762744825,0.28739661731874633,0.22095599542331265,0.3512974146432926,0.1411083329215056,0.2354373941104397,0.14552449904323805,0.16202507741480965,0.19961355513685292,0.15596838281001468,0.12890526907055738,0.20073050606857903,0.19844001685645524,0.1819339936993466,0.24815099934187662,0.17430106570238074,0.19014072599810408,0.12291112137503735,0.13515443757947843,0.13896189516717836,0.43619654124009793,0.15653658075516422,0.1866690833681959,0.1910514863514108,0.17444136696754828,0.16959324627184205,0.2127178096518564,0.40877534865787285,0.14288692575931597,0.19516901933138345,0.1575793059515244,0.45788159248725563,0.25201504450851336,0.3789795444203085,0.2749129587322029,0.1803716851921073,0.20004443385288212,0.23303853058348345,0.1887767570203392,0.17103338248720748,0.1944119704393366,0.1914000306938102,0.2760055915366259,0.186214550257804,0.18633568264723582,0.19437204435004812,0.17111874623900314,0.1115574957673316
2015-05-15,0.2217918135205076,0.2918772498205955,0.20053787700159353,0.34774920167262696,0.28732931126120675,0.2105916036347532,0.3465107252129034,0.1403630457888835,0.23568192953410405,0.14506849494242244,0.1620501414422345,0.20010965827534496,0.15234466286259998,0.127523541738219,0.19871324503092097,0.19904084130028885,0.17813857770307007,0.2478537005131173,0.17387243735620053,0.19022040484081257,0.12234624062040934,0.13384406397673765,0.1426212840086771,0.4361549363094119,0.14354147296430714,0.18646467855809665,0.19164989717418093,0.1775106030773474,0.16944730065860242,0.21211088007977202,0.40905553022177665,0.146508662574132,0.195673128239238,0.15984296311807802,0.4654144278786905,0.25197606390921085,0.3789533028310575,0.27490512721593585,0.18059956387771797,0.20342891516977896,0.23286500574838828,0.18584948388979006,0.17117631745632464,0.19384365377394144,0.18766497129554277,0.2763243982839321,0.1831499571606774,0.1876664721475701,0.1944836546512409,0.17110762891858006,0.11155111657212252
2015-05-18,0.2223061280456304,0.2920134037198234,0.199737467986669,0.34719526101332576,0.28689060613569833,0.21055487722474323,0.3433527552741786,0.1394846348956607,0.2312407274700334,0.14660513824388968,0.16178719832454264,0.19837420928217453,0.15230570505252977,0.12750561136356986,0.19558113139628072,0.19840122988475425,0.18003975349699003,0.23611967659017113,0.17410450401714272,0.1890548122715616,0.12219371136203094,0.13403429130031774,0.1421102844851145,0.4370045064876156,0.1433249489762776,0.18646926617459164,0.18382042090180528,0.17687912251245902,0.1653969567425577,0.21219547299545718,0.40832215703220964,0.1474205731220652,0.19490542967381466,0.15836196152243273,0.4654130579268526,0.25143970680857397,0.3805058915453827,0.2759268900352299,0.18089011072832928,0.20067899780045445,0.23319167068795707,0.17483206579272792,0.170760947011809,0.19382698135620738,0.18592779234224313,0.2760011833291705,0.1793890310861617,0.18418763098973404,0.19481673038135167,0.17009610639416195,0.11107533851440528
2015-05-19,0.2151948102572615,0.29195258332170937,0.19815317369062815,0.3470804191725044,0.2867122237546486,0.20878187508364285,0.32938273749892755,0.1386573300579478,0.22147808571020755,0.14688582395954194,0.16119227156092472,0.19840399093372174,0.1509988427036834,0.12677682101870805,0.19604009922377558,0.20175550587898655,0.1822176399583217,0.2344901655287183,0.17481052592843463,0.18800463055606295,0.12192828440986772,0.13391037228923863,0.14162059917114747,0.43724965806493316,0.1679709271430991,0.19408272893274736,0.18402989077911044,0.17688756494875013,0.1652888975552095,0.21238182694076727,0.408307645688744,0.14728162561212693,0.19456236924193168,0.15845518985964757,0.4641395512770735,0.2513220677744375,0.3840152544073206,0.27364709205946935,0.1816262261270568,0.20067503100844966,0.23337140003269385,0.16913638625631694,0.1698408490537568,0.19348425469158545,0.18611231320374497,0.27592736311722804,0.18153023548545247,0.18731699745036992,0.19490754951948364,0.1694438900408214,0.11107876543681908
2015-05-20,0.21482760372431653,0.291908697943701,0.19803446193137442,0.3469089379980237,0.28576379661254,0.20850164198855548,0.32845761846405186,0.13705362557982576,0.2208924176426343,0.14681625769501516,0.15544849001608757,0.19871704126631684,0.1507160073288895,0.1269139450241644,0.1964680936933672,0.1840977955855699,0.1822698374705139,0.23439355640650195,0.17484907103640135,0.1879162276893167,0.12200147312749743,0.13319277614574515,0.14263162492873085,0.4373934426996832,0.16833167507782779,0.19421738877306782,0.18497931932603714,0.17710508740283348,0.16525960948118704,0.21242859242858428,0.40973261916784226,0.14775942066829945,0.1941941123473463,0.1584123862529428,0.46417889260027445,0.2500352823841183,0.38430345479885963,0.27105724977334605,0.1814119331202075,0.20051692532200927,0.2330845435413508,0.1692649676434977,0.1698181340113739,0.19223692011810756,0.18523546050872855,0.27616163521100584,0.18130947662388522,0.20784148084813991,0.19573882812160184,0.16857815997039396,0.11096193368301135
