,meta_return,regime,strategy
2021-06-08,-0.0008206258564448399,BULL,MOM+QD
2021-06-09,-0.00689775033674093,BULL,MOM+QD
2021-06-10,-0.00427719477415968,BULL,MOM+QD
2021-06-11,0.0031163099201254453,BULL,MOM+QD
2021-06-14,0.0013845659367412602,BULL,MOM+QD
2021-06-15,-0.00603875205459164,BULL,MOM+QD
2021-06-16,-0.00357158373230136,BULL,MOM+QD
2021-06-17,-0.0034574914567624096,BULL,MOM+QD
2021-06-18,-0.013507677128602388,BULL,MOM+QD
2021-06-21,0.01585759457292433,BULL,MOM+QD
2021-06-22,0.00309834145786824,BULL,MOM+QD
2021-06-23,0.0063918533645013,BULL,MOM+QD
2021-06-24,0.013752916149314329,BULL,MOM+QD
2021-06-25,-0.00297604625288223,BULL,MOM+QD
2021-06-28,0.00574494360398365,BULL,MOM+QD
2021-06-29,0.00345429687523559,BULL,MOM+QD
2021-06-30,0.0069320279642086,BULL,MOM+QD
2021-07-01,0.0038065195233984,BULL,MOM+QD
2021-07-02,0.0044186130494855294,BULL,MOM+QD
2021-07-06,-0.0097702139506664,BULL,MOM+QD
2021-07-07,0.00027542510041416997,BULL,MOM+QD
2021-07-08,-0.01249076953632471,BULL,MOM+QD
2021-07-09,0.01985844798012296,BULL,MOM+QD
2021-07-12,0.01159366699860474,BULL,MOM+QD
2021-07-13,-0.00944344779126184,BULL,MOM+QD
2021-07-14,-0.00354402662769691,BULL,MOM+QD
2021-07-15,-0.0030723841601269595,BULL,MOM+QD
2021-07-16,-0.01493956566109509,BULL,MOM+QD
2021-07-19,-0.02009213905046482,BULL,MOM+QD
2021-07-20,0.02112722878614836,BULL,MOM+QD
2021-07-21,0.01692887714615316,BULL,MOM+QD
2021-07-22,-0.0033006295203890095,BULL,MOM+QD
2021-07-23,0.004438274771053659,BULL,MOM+QD
2021-07-26,0.00468373138005411,BULL,MOM+QD
2021-07-27,-0.00205328682934069,BULL,MOM+QD
2021-07-28,0.00230750457955968,BULL,MOM+QD
2021-07-29,0.01066963274003075,BULL,MOM+QD
2021-07-30,-0.007379312389326699,BULL,MOM+QD
2021-08-02,-2.2190910935930043e-05,BULL,MOM+QD
2021-08-03,0.008612872218516159,BULL,MOM+QD
2021-08-04,-0.004738719585009439,BULL,MOM+QD
2021-08-05,0.009995878936071729,BULL,MOM+QD
2021-08-06,0.00668115963905897,BULL,MOM+QD
2021-08-09,0.00015421453721869998,BULL,MOM+QD
2021-08-10,0.00644231096971362,BULL,MOM+QD
2021-08-11,0.004832904885441729,BULL,MOM+QD
2021-08-12,0.0013387898838328497,BULL,MOM+QD
2021-08-13,-0.00438253692018813,BULL,MOM+QD
2021-08-16,-0.00586334706713155,BULL,MOM+QD
2021-08-17,-0.01252905322316612,BULL,MOM+QD
2021-08-18,-0.00922706795668273,BULL,MOM+QD
2021-08-19,-0.009703216844558759,BULL,MOM+QD
2021-08-20,0.00438851841178115,RANGE,MR+QD
2021-08-23,0.01082177236588215,RANGE,MR+QD
2021-08-24,0.007141043369608179,BULL,MOM+QD
2021-08-25,0.01053625554364049,BULL,MOM+QD
2021-08-26,-0.007505119282441169,BULL,MOM+QD
2021-08-27,0.01432349117501788,BULL,MOM+QD
2021-08-30,-0.00398618895660993,BULL,MOM+QD
2021-08-31,-0.0012634392400390298,BULL,MOM+QD
2021-09-01,-0.0031888890972532895,BULL,MOM+QD
2021-09-02,0.005827241483158999,BULL,MOM+QD
2021-09-03,-0.0022835615473262,BULL,MOM+QD
2021-09-07,-0.00568035972156098,BULL,MOM+QD
2021-09-08,-0.006390833423579179,BULL,MOM+QD
2021-09-09,-0.00445109609906973,BULL,MOM+QD
2021-09-10,-0.00393737527764953,BULL,MOM+QD
2021-09-13,0.00427602102939702,BULL,MOM+QD
2021-09-14,-0.0070697016619573,RANGE,MR+QD
2021-09-15,0.00690871025749635,RANGE,MR+QD
2021-09-16,-0.0035341730242856497,RANGE,MR+QD
2021-09-17,-0.00944759868735142,BULL,MOM+QD
2021-09-20,-0.01937409605177558,BULL,MOM+QD
2021-09-21,-0.0013790415749973502,RANGE,MR+QD
2021-09-22,0.0084769093674873,RANGE,MR+QD
2021-09-23,0.0149451420527807,RANGE,MR+QD
2021-09-24,0.00170233548633125,RANGE,MR+QD
2021-09-27,-0.0018244704362102501,RANGE,MR+QD
2021-09-28,-0.01857133981762865,RANGE,MR+QD
2021-09-29,0.0044819085250132,RANGE,MR+QD
2021-09-30,-0.015817350846273802,RANGE,MR+QD
2021-10-01,0.01073040866201585,RANGE,MR+QD
2021-10-04,-0.0147688718559387,RANGE,MR+QD
2021-10-05,0.013049803886257951,RANGE,MR+QD
2021-10-06,0.0014798956062575,RANGE,MR+QD
2021-10-07,0.00992925515164515,RANGE,MR+QD
2021-10-08,0.0007015921826835499,RANGE,MR+QD
2021-10-11,-0.00662971334370905,RANGE,MR+QD
2021-10-12,-0.00300552733565965,RANGE,MR+QD
2021-10-13,0.0021654708825491003,RANGE,MR+QD
