Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,UNH,JNJ,JPM,V,XOM,PG,MA,HD,CVX,ABBV,MRK,LLY,PEP,KO,COST,AVGO,WMT,MCD,TMO,CSCO,ABT,ACN,CRM,DHR,ADBE,NKE,NFLX,TXN,AMD,INTC,QCOM,UNP,PM,BA,HON,IBM,CAT,GE,AXP,LOW,SBUX,GS,SPY
2019-12-30,0.740154761083007,0.5397170962488274,0.2536115164300312,0.23036897688624158,0.639299077057732,0.5165163370743564,-0.007727512900611355,0.09115200911540478,0.1546601514076411,0.11285511666315418,0.4064146995256597,0.41708425518700043,0.05604182826832549,0.37293663070160044,0.5756512872070207,0.337198355136207,0.13085235962277353,0.024162226998125425,0.1859324062933403,0.05158785057929083,0.25923363983853664,0.17048330396379074,0.5032372728828847,0.29086177817859427,0.3092820697688081,0.13782956353272713,0.4208309988243226,0.0876351717135857,0.2215039781850061,0.45750737886136794,0.19921279147345183,0.4448917195586777,0.38511177697016374,0.293829238388323,0.23371605188661637,0.3340102004281247,1.2115600742046397,0.28277437463449706,0.535952684562077,0.3242672689721404,0.2811945765027122,0.18995828451404773,0.40005233854967526,0.24025474239480382,0.19273563207955857,0.5683182239372355,0.2931007562763768,0.31496585782567355,0.3784588639525184,0.3879070691790254,0.2911449827120425
2019-12-31,0.719699785164061,0.5124374099397966,0.24798058525253075,0.19895866340096346,0.6298612428262427,0.5381800753394648,-0.008593728978079196,0.07894999977580386,0.13805791177816262,0.09543405416609096,0.39186416106838884,0.40741198136279144,0.04697267199022481,0.3652391267230273,0.557679080825424,0.3099543800691962,0.12040518491418561,0.0053991522593943575,0.16404927213043496,0.03697957837257149,0.2571250982926745,0.16350671692478813,0.48620479796567473,0.2783435404193,0.2985432966795545,0.12166176787301364,0.40574177589393434,0.07523954479316064,0.20098431830565455,0.44456156574209826,0.1892385702091961,0.42087966144951294,0.3681488298436655,0.2743474992412651,0.17559585759176533,0.30773393621433165,1.120801921318042,0.2678077240970509,0.5106535313392584,0.30150105196032384,0.2980246665866375,0.16160334129905585,0.3789215826222494,0.23954058408518675,0.171262502564278,0.5531318353355157,0.2786558051519197,0.29529149524789955,0.3514617468004029,0.352369412713345,0.2751873526982944
2020-01-02,0.6978790672415924,0.5008031971447613,0.22203898111074638,0.15753711617570687,0.5421169975311444,0.4718456187270972,0.07980779520788817,0.08643983488907026,0.16349876420531406,0.10553509601990951,0.3651673434196334,0.37644050146094,0.02879790951989203,0.3822449774040937,0.5182047991001781,0.28836217588913704,0.09807112805517049,0.03046236434942795,0.1747873573220171,0.039132283202925944,0.27139743948621575,0.18161359597387805,0.4666488219525542,0.25996433651034323,0.2979679953827976,0.13535443914206735,0.4295827490970894,0.07014914301047748,0.2361388115272416,0.4375685181883773,0.18775357435228135,0.45502512323154387,0.34813194160389527,0.2766792762537902,0.15814838539158838,0.29297054482423524,1.0568242006988613,0.25527796615243914,0.47803839074249344,0.28356795635613463,0.2822953612383461,0.12215075964870836,0.34921529833317333,0.20896367797843185,0.16325495085798325,0.4462675576736046,0.2435151056596807,0.2820766111447581,0.33952086125242675,0.29121028149198636,0.26304116167783165
2020-01-03,0.8520872860884876,0.5556230323116549,0.26258205902515286,0.17975312835789614,0.6288073773488037,0.5091844665810727,0.1193234970509156,0.1378482607958358,0.1843122919099689,0.12175035869701567,0.3670463257923182,0.42876106562627325,0.03659391396287437,0.3946142811862927,0.5933739727426128,0.29548436634783726,0.11079040258471351,0.05234831683143204,0.20406626627238933,0.08045258610298123,0.27940969152708894,0.19006662459139423,0.4897422986090858,0.3642886654662114,0.29800488789877,0.130821756374496,0.47772373504522814,0.1001024760320075,0.29506442135427835,0.4821208617510808,0.23903385711710556,0.5082334980887642,0.408947649336469,0.28438738334024616,0.12890849094336465,0.36197018465559716,1.2815251182724006,0.2917246175243393,0.48860314102013436,0.2943827018031311,0.3049055598083785,0.1585468768783027,0.3535867727299091,0.2262585770395893,0.18533407541112612,0.422468786414151,0.2608083531080734,0.2813259706387319,0.40439959516752144,0.27789233563108295,0.28523963466389635
2020-01-06,0.7919368546931427,0.49186378035902845,0.22342715215850983,0.11762165944305547,0.543709979767321,0.44044944646215956,0.048286078888191364,0.11885244524052796,0.18085249127988656,0.12109072573614044,0.3444485049656867,0.35996196965172444,0.011074799023656379,0.3842822348341264,0.5200054943122143,0.26673943957760815,0.09809751872535122,0.03433004437254028,0.18611726320950384,0.05833828839404109,0.2707300851144123,0.17742807132698823,0.45186425738642844,0.3651142888447336,0.29016563076617663,0.11621883488710116,0.426245910145292,0.04341229929714929,0.2713661257672306,0.43260587216130597,0.1338792458499345,0.4719373251848509,0.3374154759293093,0.2687548881457882,0.022683712664341105,0.33103135505791736,1.0889472961425781,0.2159587945272139,0.5037732190496291,0.27205019498020455,0.23348404498430053,0.09110175228361461,0.312839641535021,0.17900262597975947,0.12439873661258916,0.3816779069399423,0.22062384865179796,0.2543571859418061,0.3686265938272735,0.2590216818311373,0.2512582055789534
2020-01-07,0.8222836475353816,0.49075872167762746,0.2333257957588819,0.06810022551405503,0.4613336012254725,0.44411444349737983,-0.013703117290064015,0.11523031851820731,0.18989815419717115,0.12978553958713146,0.3508239519656349,0.34541523441745636,0.0023276521979549436,0.390847023996866,0.5242286464982988,0.2358869529301515,0.07835732954170505,0.01383925395128438,0.200408263658846,0.06240387778353429,0.2817049376511185,0.19077892315503941,0.4298494255817744,0.34421702820589295,0.28054997210345833,0.10363491547188941,0.4088768009606183,0.027672609399268522,0.2534898620540815,0.4295777735678652,0.11250193025203936,0.46475875657355203,0.321774430951848,0.2784534061827193,-0.03957636465185954,0.31349989181508486,0.9261059562316798,0.21161640138203341,0.51740625930138,0.25700782524099663,0.2767935198744629,0.07782387729541052,0.3115964434792926,0.17001066909247098,0.13115539859254355,0.28792351911213676,0.21753392787902293,0.2322932427391371,0.35340154985059447,0.25904132308984207,0.2437019920714134
2020-01-08,0.8227358146400381,0.49799378841834696,0.23404000954992754,0.057359129219809235,0.5232678615063606,0.410579997889188,0.0016103118655796944,0.13397179654035662,0.17114711783106307,0.11062778290493647,0.3735152557497581,0.34019654805308264,0.011093108504398819,0.3809506921016037,0.5160806974448175,0.23737254370621352,0.09872628197987443,0.012174725893913108,0.1929047044269463,0.05158130882780454,0.27903212749762796,0.18248436938899237,0.42818040541031976,0.3762558668231153,0.2836749085859902,0.10777744120634458,0.3947887247814277,0.026910953256358283,0.2722946832012201,0.4131533897809716,0.08433998243186402,0.4383586589569739,0.3160994525774816,0.2775611872600259,-0.04034095605767052,0.3329248930358759,0.9098795695477222,0.21967499812682112,0.5534914325570826,0.16635322226791271,0.2817225469414595,0.06377849656362211,0.32526656582514435,0.16506415106544425,0.13096511170097913,0.3527875665693019,0.23547762962900154,0.2146136238052987,0.38228303683881837,0.3071819111344518,0.243379874055915
2020-01-09,0.767207523007478,0.4730794938224596,0.24161242718667397,0.05429006889544308,0.49388778386384646,0.3959648382863943,0.0029539029050626997,0.12736166617868383,0.15840385760304865,0.12045769961039077,0.36942206575283043,0.3300609096782132,0.00795846075262241,0.4115651443239394,0.48218320375970314,0.2375647116961157,0.07765361224838241,0.04002816431048295,0.2003210762706289,0.049010632993552905,0.3138845830911323,0.19783689609370447,0.4200047277087089,0.3122299261144872,0.28335275619006906,0.10587647508888698,0.34132538072557495,0.03401380138689558,0.2278377202162296,0.4024716413616678,0.07870378010711798,0.41890425888501315,0.3042093078421739,0.2750144792021689,-0.054569329731729455,0.3032114406588302,0.9281822325614351,0.20683794804317612,0.5555288620400012,0.1650271597342201,0.28619934584271367,0.044999424538763266,0.3118218304018179,0.1628400321301855,0.12749271378078686,0.3488350488486116,0.23169374622249084,0.23883559096926543,0.3760194202621989,0.28283982742491354,0.23370474277749675
2020-01-10,0.7718715192075831,0.4803538361409889,0.24476505979841967,0.050108147046816764,0.4791415206109588,0.39299592444582343,0.011218424932044835,0.12554681272712465,0.16080806643691226,0.10967712324619106,0.3704756199006567,0.322776957129826,0.00440811289225862,0.4013922490642159,0.47100890857437183,0.2385815171017267,0.08135512770798736,0.03686617214658283,0.2205134729114573,0.0641174835505367,0.2973929170557339,0.17853733108931524,0.4179885298150716,0.29799226941425316,0.2800433934241007,0.09972423484688542,0.3302234107834545,0.040646409294699204,0.24438997946397567,0.39046874109099616,0.0636562265052254,0.4179170465418818,0.2792615046563467,0.28287609765274446,-0.09714776588291041,0.27684614430027277,0.9979736111453319,0.19443581607382843,0.5357208086099678,0.13587471777639193,0.28642282481084513,0.009375539978445424,0.2891570612016263,0.1522517333333333,0.10499098993099487,0.2847839276308093,0.24336314718174967,0.23761935084716934,0.3655644926210715,0.28667221316344293,0.22799761096742377
2020-01-13,0.8047038120076926,0.49750025679984167,0.2628351557440456,0.06592867239717637,0.466026911013919,0.40653699556444955,0.01566543086670147,0.13388361575710817,0.15170821877442964,0.11717973917730395,0.3737832814769182,0.3267987789735003,0.007568666290066917,0.39659921690195876,0.4862719667281459,0.21383482624775163,0.07474969375232621,0.037250026521524315,0.21203552571784945,0.06306366716899547,0.30517444835253804,0.1757386510586536,0.41656218666005684,0.31167130370005314,0.280156865193288,0.09348783932322169,0.3280383108318832,0.038887369233537195,0.24503521530604044,0.40088899767052477,0.059911712228842395,0.42717859437102823,0.27863601907929936,0.29154639800794535,-0.1145175908975189,0.29008320103370244,0.947212645749379,0.19545802322650974,0.568782689399812,0.16397245102234037,0.27556753269498335,0.014633962272882606,0.3074506162858306,0.15408771089027962,0.12098160748783937,0.28011609202913723,0.23703871849891756,0.2331965819896875,0.38421338003857874,0.2759285747421092,0.23100790267056626
2020-01-14,0.836923591112237,0.52382027652163,0.2824319442111183,0.08849816866406313,0.49524777944925336,0.3532571401878699,0.07559808342260488,0.15394830716913677,0.16264716625099984,0.1328678583873637,0.3986794382792449,0.34071395249042435,0.02902287940993209,0.4050834078577239,0.500941820788577,0.21813738854377251,0.10666964102707932,0.09259566838502353,0.2455148223746948,0.08517182178580107,0.3161580046447965,0.18463436701153157,0.43665341890283993,0.34321102578500584,0.2868395512097497,0.10941247931957676,0.3615206844846648,0.078442637339589,0.27424141413324543,0.42477333352264157,0.0858610035939853,0.4589377550193783,0.3043997042959061,0.29787044726539325,-0.1036222439000245,0.3454297070491008,1.1052892296743857,0.21997414394207881,0.6115384569892282,0.16394400431099454,0.26151206805073635,0.011156670453683626,0.31530839730284344,0.17792464129891328,0.14522335909387207,0.34096143495108167,0.2589517914206019,0.24384238527303803,0.418121157934652,0.2909030814803173,0.24923957682207076
2020-01-15,0.8245515080954735,0.4933333436868115,0.23962947180509486,0.05158370446993166,0.5003989602585532,0.303189200681544,0.04053078484132144,0.14435864894558303,0.13017426603318527,0.12372753863880748,0.3763273235958138,0.3566916326288012,0.012219211237659566,0.4020069882751611,0.5124358436027838,0.24616490224596888,0.09483223235391458,0.07227488415582006,0.22979434121036113,0.0613513558808072,0.30317102208073243,0.18024713826814254,0.39665871167463895,0.2641625761673003,0.27507723607071033,0.11522061583887488,0.36388609808092487,0.05002220246538469,0.2399172036992696,0.4246511842603242,0.08003223620838429,0.4191785299352033,0.3118501470569255,0.2686887025389071,-0.15830138194569565,0.33351623372878403,1.0191365662613223,0.2187600238406091,0.6342373983423448,0.18684205975000778,0.2549545153822639,-0.007658583819564302,0.3107442730562848,0.15540215455471484,0.14511405311101244,0.3551236010768397,0.28618330312883944,0.27327663271465497,0.4097219710960338,0.276408001129248,0.2358240648792007
2020-01-16,0.8333862599252897,0.4977193484737106,0.2489099249463922,0.050737026001599794,0.5186057438459624,0.3414668259789231,0.1024418196651864,0.1433395590770683,0.13580892319426185,0.1386052676837497,0.37060598272209955,0.3647521118292183,0.023905981762959216,0.4128401898844596,0.5072922299886957,0.2505664483445684,0.11498620624137312,0.09104621889036779,0.22935776396928476,0.07554316363989089,0.3026263240822398,0.1965978214312507,0.410137626567175,0.31970917203647353,0.2764009084642969,0.12994471202431623,0.3736828103736347,0.0672384619300006,0.25218556581680107,0.4037462053434968,0.09034587735733313,0.45469767871729383,0.3382930021786108,0.2854849868995164,-0.13426678107465495,0.3443784660904272,1.146477417977723,0.22874487346307504,0.6590963027042511,0.21140875345756305,0.2738560714681404,-0.049780334828812056,0.30408201946867197,0.1557574570734268,0.13535007496028695,0.29764844169481597,0.2572394924709682,0.30329886495983316,0.4183321973658316,0.18094774719669715,0.2413106265481737
2020-01-17,0.8261464513376926,0.47924248260502766,0.23270438668067395,0.05754708590050339,0.5105559609019188,0.33776097176304254,0.09121540469500711,0.14221754928094543,0.13709152308317685,0.1434412400579883,0.3733613496282979,0.3600698152382087,0.01230171759084464,0.410229599612264,0.49081059325521625,0.2789498981497833,0.10234560033243412,0.0781813010847352,0.20959042171745823,0.0755238184246263,0.2837398676609013,0.19303772813102338,0.41139199293524764,0.3036443102160171,0.27905943768886976,0.11127414247359346,0.3462355736428111,0.07182025926413615,0.24922633795397986,0.38120849503999055,0.07882792822854601,0.4334454730952433,0.3209902379959091,0.27265727857033006,-0.10676972401201723,0.3394898781114051,1.112098788037712,0.21166721352672058,0.672159296211295,0.17264421691443488,0.2384419763640453,-0.06838310639457568,0.28892970824118147,0.15113805746671027,0.11876674514978758,0.26694321909835383,0.26912778021821304,0.32192230166757274,0.39677717496284015,0.1849682162317421,0.23223389573075637
2020-01-21,0.8106305639022227,0.45439177424287847,0.2209066930283139,0.05178047997627977,0.46821082141697845,0.34964004935681814,0.30070130366512116,0.10040101334241136,0.12185804732512029,0.12653161092587628,0.3500637706989447,0.3435840414155815,0.0031021282621606083,0.38369208522261977,0.4646961877206446,0.24700735112693906,0.0786620651315233,0.04172753393805695,0.2134097282567573,0.13563031381277546,0.2719557103550321,0.16820452659259866,0.3799187654238185,0.2905504359121107,0.25127881913574823,0.09739459664115535,0.3315146259443569,0.056833835013732514,0.23164257121588405,0.3848826071495355,0.058815910580680475,0.4012664886553292,0.3105733589835036,0.26333269263736425,-0.05396632334391116,0.3065084873390356,1.0365911557430478,0.19122339253627207,0.6506533711354221,0.1506004606436835,0.2303354766348027,-0.07246705023564115,0.2562114095272745,0.13759236379714235,0.1004611305084877,0.2620093067025382,0.24968417399708542,0.2810351123422197,0.3855058355480252,0.16125660086375193,0.2161245314812985
2020-01-22,0.8540594760468416,0.49519644199292157,0.2575580650777567,0.09809641185615336,0.5888925296561829,0.3963541047896302,0.3516660730927639,0.12201078788474051,0.127638951628682,0.16030496700959462,0.36484692827208876,0.3599199896940599,0.011453836019388541,0.4089497631295971,0.4973899176511183,0.27727467743749235,0.09426324365231786,0.04500519264335279,0.21906131184667843,0.14274560044369777,0.2784913818960988,0.17437541675729662,0.3963978775757644,0.2898984727596321,0.2566619023856289,0.09343798242618973,0.3464976202182293,0.09098892354757804,0.23638055182071382,0.4159069008381475,0.09654260682748195,0.41901759405426486,0.34357185434611726,0.2658978378903205,0.021712427940628887,0.3449019843174137,1.1675101890157378,0.23070182970027187,0.690190391047095,0.17029686536810562,0.25111398735374046,-0.04670545193395148,0.28802301692866195,0.15094540848298155,0.12051773173837654,0.32993801919703625,0.26359062673496547,0.33214334265118484,0.37914316626758504,0.18717327884535884,0.23783286459450803
2020-01-23,0.8427659756148294,0.4969313274040634,0.24604162574428523,0.0893159540325279,0.6096509194083388,0.4296604368920667,0.4103063480209259,0.12508080748467343,0.11429148173448977,0.16597285732178757,0.3672069938887075,0.3809672154842041,0.02790675210836957,0.3483153283786793,0.5110325616367406,0.2844954031536542,0.118076129934517,0.05362215185785035,0.24701493593501245,0.13999266380325315,0.28250708132644986,0.17488692854036647,0.40377153021381784,0.2862960970062318,0.24330063281526337,0.0849469387959878,0.35666811030792034,0.06501809758694366,0.254336721598885,0.44025789336477117,0.0988314704219786,0.4455530668909391,0.33641994846719636,0.25488986943319714,0.04630570060213657,0.3882704255738656,1.2297981427818123,0.2603395248929692,0.7796747785121698,0.1949370140187061,0.22068770231934787,-0.06428323268971692,0.2789510684509129,0.06925472345522765,0.14385380951015536,0.3192739332078489,0.2746381474896653,0.32292267092476745,0.35663177573790716,0.18664093349427047,0.24066376838367187
2020-01-24,0.88780068813392,0.5041198753783287,0.24596878876982875,0.08342955382795592,0.5189605569237106,0.41383779273023835,0.43809817496552417,0.12167938978811899,0.12757058869558557,0.18529475652169403,0.36601049327617496,0.3673235138444275,0.03160394410192202,0.3510598933747906,0.4936099332654884,0.270125394038087,0.10315296877487978,0.09681925817134251,0.2879483049875424,0.1662826909595143,0.2886384418414836,0.18787803334371644,0.40835350993539876,0.2589541741567405,0.23465514734751602,0.07239791341890034,0.36713170816396223,0.07605660282660343,0.24737310679312619,0.4218417760415736,0.11486366694476802,0.45033478355010415,0.3561593647673449,0.25683075440207626,0.019683520372260732,0.2944927584323296,1.1803356476134588,0.2200092123872135,0.8051370429456364,0.14389947484604115,0.27359061646816096,-0.036125211461424,0.2751099137469535,0.07184269339850746,0.14317108783937083,0.32722155572844147,0.2615392553100009,0.32180778667859,0.38842607989083655,0.182067267020666,0.24189934092579413
2020-01-27,0.8289877725759967,0.49022138673009596,0.22053377933348695,0.07101766419613442,0.4957970608339153,0.37655186338064905,0.43162532082242655,0.11205919221061955,0.11740756295574095,0.1701133865681641,0.36118194981351315,0.3613151112900681,0.02305616143620992,0.3646516946840186,0.4714656556202297,0.2565423173070982,0.10607064491037144,0.16435765159000915,0.2876076775109391,0.1661296686026703,0.28899354885680384,0.19154659895082515,0.42115038089116896,0.24208574828089646,0.25779221098373384,0.09465452002776642,0.35894793461370433,0.05684877521088527,0.2412938621418168,0.4111254656381613,0.09022319091344522,0.4474593577714834,0.345744105961717,0.25543397393616996,-0.014347008015772933,0.26553186194264966,1.122207034559104,0.2944762129473648,0.7943627833074831,0.14254900977433316,0.25423849103677876,-0.06460033529564901,0.26947738498642226,0.055863328725961336,0.10105829458585713,0.27558217901023974,0.25090151854277276,0.2952951220372231,0.34419668018745697,0.1689236643884946,0.23151782047040936
