Date,spy_20d_ret,spy_20d_vol,vix,breadth,regime,regime_num
2017-03-30,-0.0481048832786422,0.0700335528144867,11.539999961853027,0.803921568627451,RANGE,1
2017-03-31,-0.0853647923433556,0.0703600727243726,12.369999885559082,0.7647058823529411,RANGE,1
2017-04-03,-0.0697603733878886,0.0698797312731718,12.380000114440918,0.7058823529411765,RANGE,1
2017-04-04,-0.0240949277270799,0.0691961853487118,11.789999961853027,0.7450980392156863,RANGE,1
2017-04-05,-0.0381566100231743,0.0696845160037746,12.890000343322754,0.7058823529411765,RANGE,1
2017-04-06,-0.0187126555570723,0.0703138978336653,12.390000343322754,0.7058823529411765,RANGE,1
2017-04-07,-0.0757160465852049,0.0690829653578196,12.869999885559082,0.7058823529411765,RANGE,1
2017-04-10,-0.0745691152711227,0.0690977874198418,14.050000190734863,0.6666666666666666,RANGE,1
2017-04-11,-0.0413482457640014,0.0679350168167102,15.06999969482422,0.6470588235294118,RANGE,1
2017-04-12,-0.2055955520382328,0.0608870174792825,15.770000457763672,0.5490196078431373,RANGE,1
2017-04-13,-0.2626477334802521,0.0640610650777799,15.960000038146973,0.4509803921568627,RANGE,1
2017-04-17,-0.1288840428815539,0.0729579077292315,14.65999984741211,0.5294117647058824,RANGE,1
2017-04-18,-0.1526628812204481,0.073464583704615,14.420000076293944,0.5098039215686274,RANGE,1
2017-04-19,-0.014056021277822,0.0578963484780933,14.93000030517578,0.5098039215686274,RANGE,1
2017-04-20,0.0588520396337717,0.064370834044851,14.149999618530272,0.6078431372549019,BULL,0
2017-04-21,0.0321446545072143,0.065370884443236,14.630000114440918,0.5490196078431373,RANGE,1
2017-04-24,0.1798684879973776,0.0757608728997915,10.84000015258789,0.6470588235294118,BULL,0
2017-04-25,0.2661101637115003,0.077550669768787,10.760000228881836,0.6862745098039216,BULL,0
2017-04-26,0.1665047623453089,0.0741421653243788,10.850000381469728,0.6470588235294118,BULL,0
