Date,regime
2016-09-27,RANGE
2016-09-28,RANGE
2016-09-29,RANGE
2016-09-30,RANGE
2016-10-03,RANGE
2016-10-04,RANGE
2016-10-05,RANGE
2016-10-06,RANGE
2016-10-07,RANGE
2016-10-10,BULL
2016-10-11,BULL
2016-10-12,BULL
2016-10-13,RANGE
2016-10-14,RANGE
2016-10-17,RANGE
2016-10-18,RANGE
2016-10-19,RANGE
2016-10-20,RANGE
2016-10-21,RANGE
2016-10-24,RANGE
2016-10-25,RANGE
2016-10-26,RANGE
2016-10-27,RANGE
2016-10-28,RANGE
2016-10-31,RANGE
2016-11-01,RANGE
2016-11-02,RANGE
2016-11-03,RANGE
2016-11-04,RANGE
2016-11-07,RANGE
2016-11-08,RANGE
2016-11-09,BULL
2016-11-10,BULL
2016-11-11,BULL
2016-11-14,BULL
2016-11-15,BULL
2016-11-16,BULL
2016-11-17,BULL
2016-11-18,BULL
2016-11-21,BULL
2016-11-22,BULL
2016-11-23,BULL
2016-11-25,BULL
2016-11-28,BULL
2016-11-29,BULL
2016-11-30,BULL
2016-12-01,BULL
2016-12-02,BULL
2016-12-05,BULL
2016-12-06,BULL
2016-12-07,BULL
2016-12-08,BULL
2016-12-09,BULL
2016-12-12,BULL
2016-12-13,BULL
2016-12-14,BULL
2016-12-15,BULL
2016-12-16,BULL
2016-12-19,BULL
2016-12-20,BULL
2016-12-21,BULL
2016-12-22,BULL
2016-12-23,BULL
2016-12-27,BULL
2016-12-28,BULL
2016-12-29,BULL
2016-12-30,BULL
2017-01-03,BULL
2017-01-04,BULL
2017-01-05,BULL
2017-01-06,BULL
2017-01-09,BULL
2017-01-10,BULL
2017-01-11,BULL
2017-01-12,BULL
2017-01-13,BULL
2017-01-17,BULL
2017-01-18,BULL
2017-01-19,BULL
2017-01-20,RANGE
2017-01-23,RANGE
2017-01-24,RANGE
2017-01-25,BULL
2017-01-26,BULL
2017-01-27,BULL
2017-01-30,BULL
2017-01-31,BULL
2017-02-01,BULL
2017-02-02,BULL
2017-02-03,BULL
2017-02-06,BULL
2017-02-07,BULL
2017-02-08,BULL
2017-02-09,BULL
2017-02-10,BULL
2017-02-13,BULL
2017-02-14,BULL
2017-02-15,BULL
2017-02-16,BULL
2017-02-17,BULL
2017-02-21,BULL
2017-02-22,BULL
2017-02-23,BULL
2017-02-24,BULL
2017-02-27,BULL
2017-02-28,BULL
2017-03-01,BULL
2017-03-02,BULL
2017-03-03,BULL
2017-03-06,BULL
2017-03-07,BULL
2017-03-08,BULL
2017-03-09,BULL
2017-03-10,BULL
2017-03-13,BULL
2017-03-14,BULL
2017-03-15,BULL
2017-03-16,BULL
2017-03-17,BULL
2017-03-20,BULL
2017-03-21,BULL
2017-03-22,RANGE
2017-03-23,RANGE
2017-03-24,RANGE
2017-03-27,RANGE
2017-03-28,RANGE
2017-03-29,RANGE
2017-03-30,RANGE
2017-03-31,RANGE
2017-04-03,RANGE
2017-04-04,RANGE
2017-04-05,RANGE
2017-04-06,RANGE
2017-04-07,RANGE
2017-04-10,RANGE
2017-04-11,RANGE
2017-04-12,RANGE
2017-04-13,RANGE
2017-04-17,RANGE
2017-04-18,RANGE
2017-04-19,RANGE
2017-04-20,RANGE
2017-04-21,BULL
2017-04-24,BULL
2017-04-25,BULL
2017-04-26,BULL
2017-04-27,BULL
2017-04-28,BULL
2017-05-01,BULL
2017-05-02,BULL
2017-05-03,BULL
2017-05-04,BULL
2017-05-05,BULL
2017-05-08,BULL
2017-05-09,BULL
2017-05-10,BULL
2017-05-11,BULL
2017-05-12,BULL
2017-05-15,BULL
2017-05-16,BULL
2017-05-17,BULL
2017-05-18,BULL
2017-05-19,BULL
2017-05-22,BULL
2017-05-23,BULL
2017-05-24,BULL
2017-05-25,BULL
2017-05-26,BULL
2017-05-30,BULL
2017-05-31,BULL
2017-06-01,BULL
2017-06-02,BULL
2017-06-05,BULL
2017-06-06,BULL
2017-06-07,BULL
2017-06-08,BULL
2017-06-09,BULL
2017-06-12,BULL
2017-06-13,BULL
2017-06-14,BULL
2017-06-15,BULL
2017-06-16,BULL
2017-06-19,BULL
2017-06-20,BULL
2017-06-21,BULL
2017-06-22,BULL
2017-06-23,BULL
2017-06-26,BULL
2017-06-27,BULL
2017-06-28,BULL
2017-06-29,BULL
2017-06-30,RANGE
2017-07-03,RANGE
2017-07-05,RANGE
2017-07-06,RANGE
2017-07-07,RANGE
2017-07-10,RANGE
2017-07-11,RANGE
2017-07-12,RANGE
2017-07-13,BULL
2017-07-14,BULL
2017-07-17,BULL
2017-07-18,BULL
2017-07-19,BULL
2017-07-20,BULL
2017-07-21,BULL
2017-07-24,BULL
2017-07-25,BULL
2017-07-26,BULL
2017-07-27,BULL
2017-07-28,BULL
2017-07-31,BULL
2017-08-01,BULL
2017-08-02,BULL
2017-08-03,BULL
2017-08-04,BULL
2017-08-07,BULL
2017-08-08,BULL
2017-08-09,BULL
2017-08-10,BULL
2017-08-11,RANGE
2017-08-14,RANGE
2017-08-15,BULL
2017-08-16,BULL
2017-08-17,RANGE
2017-08-18,RANGE
2017-08-21,RANGE
2017-08-22,RANGE
2017-08-23,RANGE
2017-08-24,RANGE
2017-08-25,RANGE
2017-08-28,RANGE
2017-08-29,RANGE
2017-08-30,RANGE
2017-08-31,RANGE
2017-09-01,RANGE
2017-09-05,RANGE
2017-09-06,RANGE
2017-09-07,RANGE
2017-09-08,RANGE
2017-09-11,BULL
2017-09-12,BULL
2017-09-13,BULL
2017-09-14,BULL
2017-09-15,BULL
2017-09-18,BULL
2017-09-19,BULL
2017-09-20,BULL
2017-09-21,BULL
2017-09-22,BULL
2017-09-25,BULL
2017-09-26,BULL
2017-09-27,BULL
2017-09-28,BULL
2017-09-29,BULL
2017-10-02,BULL
2017-10-03,BULL
2017-10-04,BULL
2017-10-05,BULL
2017-10-06,BULL
2017-10-09,BULL
2017-10-10,BULL
2017-10-11,BULL
2017-10-12,BULL
2017-10-13,BULL
2017-10-16,BULL
2017-10-17,BULL
2017-10-18,BULL
2017-10-19,BULL
2017-10-20,BULL
2017-10-23,BULL
2017-10-24,BULL
2017-10-25,BULL
2017-10-26,BULL
2017-10-27,BULL
