ticker,price,ma20,ma50,ma200,rsi,volatility,momentum_12m,regime
XOM,108.34364318847656,103.98800239562988,109.287158203125,110.51520530700684,72.68475175108918,0.16382694814205426,0.19768398128380782,TRANSITIONAL
CVS,50.462066650390625,44.85533180236816,49.88897590637207,55.120072021484376,83.65381939610052,0.3706302964618662,-0.2879445674176724,TRANSITIONAL
LYFT,13.40999984741211,13.537499952316285,15.338000087738036,14.238200058937073,46.10389180061844,0.4485040287058015,0.05507472912385536,TRANSITIONAL
NKE,69.21406555175781,72.20383644104004,73.94890823364258,80.02685729980469,19.98038629187498,0.16423249983499663,-0.2853088855892466,BEAR
SLB,42.24264144897461,37.57636890411377,39.72995506286621,42.69927925109863,89.79590742241369,0.31194159575213715,-0.06707355344085264,TRANSITIONAL
XLB,43.3026123046875,41.64399642944336,43.763985061645506,44.244786949157714,64.8731127087861,0.18162898310120354,0.09822601715731438,TRANSITIONAL
META,610.8438110351562,602.4916320800781,593.689375,531.8304104614258,53.3904326028996,0.3266234215242761,0.6698175759505118,BULL
DVN,36.92107391357422,32.945853519439694,34.774862670898436,41.47353424072266,91.91181185796441,0.2703630880905893,-0.043972206494712895,TRANSITIONAL
OXY,50.85017013549805,48.7249698638916,48.60649711608887,55.14911674499512,75.64635108065335,0.2189728290119241,-0.0606260314651349,TRANSITIONAL
KEY,17.458959579467773,16.49251523017883,17.348610439300536,15.188738651275635,62.26417379563504,0.3120733164762917,0.39242969510300574,BULL
FCX,39.66814041137695,38.31087646484375,41.08363082885742,45.32786533355713,60.44720096815104,0.2623583182929025,0.0652948615136606,TRANSITIONAL
MRVL,124.3446273803711,114.36056938171387,104.92438949584961,79.22861810684203,63.85122495548889,0.4459162095138966,0.9145608054968166,BULL
LRCX,79.5712890625,74.19650726318359,74.2511686706543,84.31720817565918,68.5044195061045,0.38266484398610867,0.0773923051169163,TRANSITIONAL
JPM,253.95278930664062,237.09963684082032,236.93726440429688,208.60675842285156,75.52361545319586,0.21428462579001287,0.5864767348742532,OVERBOUGHT
BMY,53.58314895629883,53.65821723937988,54.084128341674806,46.1793514251709,41.71809357306221,0.1719264979101168,0.1825337259705906,RANGE
MRNA,34.060001373291016,39.52950019836426,41.52320007324219,85.65017486572266,36.66806597214533,0.8884583075674526,-0.6605879233563254,BEAR
NEE,68.6195297241211,68.60788497924804,71.3633186340332,72.39169456481933,43.090173732181334,0.27568428355694213,0.24970815800755863,RANGE
LCID,30.700000762939453,30.569999980926514,25.694999923706053,29.307749996185304,40.17094086280558,0.8152380882658328,0.10431660451317115,TRANSITIONAL
BA,171.08999633789062,173.56599884033204,161.51279907226564,168.71110000610352,32.371904375785306,0.2125781357646803,-0.15744115830336336,TRANSITIONAL
MRK,94.37215423583984,95.8775577545166,96.02483978271485,110.12822853088379,42.772422708172435,0.1935837308799199,-0.14845757438929197,RANGE
XLK,116.33031463623047,116.23152809143066,116.59790298461914,109.8536658859253,41.254649109084504,0.2285252784897675,0.22915738778338568,RANGE
XLP,75.18626403808594,75.96275520324707,77.65987197875977,76.15916641235351,27.848131757783335,0.10695165968179945,0.09759086787162263,BEAR
HAL,29.037275314331055,26.591444873809813,28.135369110107423,30.99888162612915,82.15769931829621,0.2694865421446076,-0.08142756698085829,TRANSITIONAL
NEM,40.97528076171875,38.066599655151364,40.01659370422363,44.03203628540039,75.6446253920987,0.33155684180342176,0.22975117898498754,TRANSITIONAL
RF,23.192623138427734,22.78196029663086,24.02527400970459,20.881743936538697,52.47060595686117,0.3078632722669381,0.41164259000523007,BULL
CVX,154.31639099121094,142.25835037231445,147.31619598388673,144.6743888092041,92.5962362456346,0.1866283933369733,0.17681887857246847,OVERBOUGHT
XLV,137.7570037841797,136.59173278808595,139.68063385009765,143.15327339172364,52.4786467642161,0.12755633671038713,0.021564434519027342,RANGE
GM,50.44758605957031,51.39180488586426,53.12916168212891,47.51219581604004,36.293781438521286,0.3134964317784539,0.47099861148389466,TRANSITIONAL
SBUX,92.66968536376953,89.36298065185547,93.49389862060546,85.28357326507569,67.67564728936841,0.20322957028872662,0.06365138256103675,BULL
USB,46.316226959228516,46.18509578704834,47.67352226257324,42.134201240539554,49.29377535157214,0.34529986898961984,0.23951290590876506,RANGE
MCHP,56.19634246826172,55.31321907043457,60.20213897705078,76.29546546936035,47.7189380640943,0.3027622565098408,-0.2886130838680816,TRANSITIONAL
PYPL,91.5982437133789,87.01933326721192,86.73658782958984,72.34864889144897,57.96785523480102,0.3957311295579515,0.5329770421781872,BULL
JNJ,142.66299438476562,140.39879302978517,144.53512939453125,147.49918090820313,54.02554378571222,0.1743743362455931,-0.054510861903780516,RANGE
ON,54.630001068115234,61.441499900817874,65.77319984436035,69.92170003890992,24.390259670751618,0.49311903658474393,-0.24408463254915003,BEAR
